Designator,Mid X,Mid Y,Rotation,Layer
A1,116.96,-93.22,0.0,top
J1,99.2,-107.45,0.0,top
J2,99.55,-67.7,270.0,top
J3,98.75,-79.6,270.0,top
J4,103.46,-111.55,180.0,top
J5,96.4,-107.15,270.0,top
J6,96.15,-102.85,90.0,top
J7,98.6,-96.09,270.0,top
